ts,black_profile,white_profile,winner,result,moves,seconds,visits,komi,sgf,error,handicap
2026-09-13 15:50:00,preaz_10k,preaz_5k,B,B+16.5,273,128.8,40,0.5,g00024_preaz_10k_vs_preaz_5k.sgf,,6
2026-09-13 15:50:42,preaz_15k,preaz_5k,W,W+R,148,121.8,40,0.5,g00025_preaz_15k_vs_preaz_5k.sgf,,2
2026-09-13 15:52:09,preaz_10k,preaz_5k,W,W+31.5,309,147.5,40,0.5,g00026_preaz_10k_vs_preaz_5k.sgf,,3
2026-09-13 15:52:44,rank_5k,rank_1k,B,B+R,217,165.6,40,0.5,g00027_rank_5k_vs_rank_1k.sgf,,4
2026-09-13 15:54:36,preaz_10k,preaz_5k,B,B+R,151,84.8,40,0.5,g00028_preaz_10k_vs_preaz_5k.sgf,,6
2026-09-13 15:55:29,rank_5k,rank_1k,W,W+7.5,295,144.0,40,0.5,g00029_rank_5k_vs_rank_1k.sgf,,4
2026-09-13 15:56:01,rank_5k,rank_1k,W,W+R,214,179.4,40,0.5,g00030_rank_5k_vs_rank_1k.sgf,,2
2026-09-13 15:57:53,rank_5k,rank_1k,W,W+R,175,100.2,40,0.5,g00031_rank_5k_vs_rank_1k.sgf,,3
2026-09-13 15:59:00,preaz_15k,preaz_5k,W,W+R,149,150.5,40,0.5,g00032_preaz_15k_vs_preaz_5k.sgf,,3
2026-09-13 15:59:33,rank_5k,rank_1k,W,W+25.5,308,184.5,40,0.5,g00033_rank_5k_vs_rank_1k.sgf,,6
2026-09-13 16:01:31,preaz_10k,preaz_5k,W,W+27.5,293,160.9,40,0.5,g00034_preaz_10k_vs_preaz_5k.sgf,,2
